time,price,size
1725261000113,189170,1
1725261000113,189170,1
1725261000454,189140,2
1725261000454,189140,2
1725261001114,189140,1
1725261001452,189140,4
1725261002115,189140,1
1725261005457,189130,1
1725261005619,189120,5
1725261005619,189120,5
1725261006460,189130,2
1725261006460,189130,2
1725261007887,189110,1
1725261007887,189110,1
1725261008874,189100,7
1725261008874,189100,7
1725261009126,189090,1
1725261009126,189090,1
1725261010626,189090,2
1725261011630,189090,1
1725261011878,189080,1
1725261012879,189090,1
1725261013131,189070,1
1725261015633,189070,2
1725261016473,189070,1
1725261016634,189080,2
1725261016634,189080,2
1725261019148,189080,1
1725261019640,189070,2
1725261019640,189070,2
1725261019888,189070,1
1725261025650,189080,1
1725261025896,189070,2
1725261025897,189070,2
1725261026899,189080,1
1725261026899,189080,1
1725261028902,189100,1
1725261029904,189120,1
1725261032156,189110,2
1725261032156,189110,2
1725261033747,189100,1
1725261033747,189100,1
1725261036328,189090,1
1725261038914,189120,1
1725261039665,189120,2
1725261041258,189140,1
1725261041258,189140,1
1725261042510,189100,2
1725261042510,189100,2
1725261046926,189100,1
1725261050693,189070,2
1725261050693,189070,2
1725261051268,189060,1
1725261051268,189060,1
1725261053936,189070,1
1725261055438,189080,1
1725261056691,189090,1
1725261060535,189130,1
1725261061697,189100,1
1725261061948,189090,3
1725261061948,189090,3
1725261062697,189110,1
1725261062697,189110,1
1725261063449,189110,2
1725261064701,189050,3
1725261064701,189050,3
1725261064951,189040,1
1725261064951,189040,1
1725261065290,189050,1
1725261065453,189060,1
1725261066703,189050,3
1725261066703,189050,3
1725261067708,189040,1
1725261067708,189040,1
1725261067955,189050,2
1725261067955,189050,2
1725261071713,189070,2
1725261071961,189040,1
1725261071961,189040,1
1725261073964,189050,1
1725261075467,189060,1
1725261078721,189050,1
1725261081727,189060,1
1725261081976,189090,2
1725261081976,189090,2
1725261089989,189090,1
1725261095995,189070,1
1725261096999,189080,2
1725261096999,189080,2
1725261100753,189060,3
1725261100753,189060,3
1725261101004,189070,1
1725261101004,189070,1
1725261103351,189080,1
1725261104007,189090,1
1725261104759,189080,1
1725261108013,189090,1
1725261110516,189080,1
1725261112543,189070,1
1725261113019,189090,1
1725261115524,189100,1
1725261116525,189120,1
1725261118528,189130,1
1725261120372,189110,1
1725261123376,189120,1
1725261124789,189130,1
1725261128794,189130,2
1725261132057,189120,3
1725261132057,189120,3
1725261132799,189130,1
1725261132799,189130,1
1725261133392,189140,1
1725261134552,189160,1
1725261135392,189160,2
1725261136054,189160,1
1725261137556,189170,1
1725261139884,189160,1
1725261142401,189150,2
1725261142401,189150,2
1725261142813,189130,1
1725261142813,189130,1
1725261146570,189140,1
1725261147072,189110,1
1725261147410,189120,1
1725261154081,189100,2
1725261154081,189100,2
1725261166848,189090,2
1725261167598,189090,1
1725261171355,189080,1
1725261173857,189070,1
1725261175610,189050,1
1725261176862,189040,1
1725261178864,189040,2
1725261181459,189050,3
1725261181459,189050,3
1725261182619,189060,2
1725261182619,189060,2
1725261182870,189070,1
1725261182870,189070,1
1725261185874,189040,1
1725261186127,189030,1
1725261186465,189020,3
1725261186465,189020,3
1725261187125,189020,1
1725261187467,189030,1
1725261191135,189050,1
1725261193722,189040,1
1725261196639,189050,1
1725261196889,189040,2
1725261196889,189040,2
1725261208156,189040,1
1725261209158,189050,1
1725261211159,189040,1
1725261214548,189050,1
1725261231274,189080,1
1725261235283,189070,1
1725261235694,189080,1
1725261236444,189090,1
1725261237446,189080,4
1725261237446,189080,4
1725261238287,189080,1
1725261243295,189040,1
1725261246709,189070,1
1725261248299,189050,1
1725261254719,189070,2
1725261254719,189070,2
1725261255470,189080,1
1725261255470,189080,1
1725261257975,189080,3
1725261259977,189060,2
1725261259977,189060,2
1725261260975,189070,1
1725261260975,189070,1
1725261261977,189060,1
1725261263482,189070,1
1725261267232,189060,1
1725261269485,189070,1
1725261269735,189060,1
1725261270235,189070,1
1725261274993,189060,2
1725261274993,189060,2
1725261288758,189090,2
1725261289759,189100,2
1725261296515,189100,1
1725261297515,189110,2
1725261297515,189110,2
1725261298767,189090,2
1725261299017,189070,1
1725261299017,189070,1
1725261299360,189050,1
1725261299519,189060,1
1725261299772,189050,1
1725261300611,189040,5
1725261300611,189040,5
1725261300773,189030,1
1725261300773,189030,1
1725261301021,189020,1
1725261301612,189000,1
1725261302362,189000,4
1725261303026,189010,2
1725261303026,189010,2
1725261303618,189000,1
1725261303618,189000,1
1725261304277,189000,2
